"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"DNP";"PARTNO";
"1";"";"INDUCTOR-0603";"0603-IND";"L1";"";"";"";"ferrite-0603-600ohm";
"2";"0/DNP";"SQ_JMP-0402";"0402-SQJMP";"JP4, JP5";"";"";"T";"res-0402-0";
"5";"100n";"CAPACITOR-0402";"0402-CAP";"C1, C8, C10, C11, C12";"";"";"";"cap-cer-0402-100n";
"1";"10nF";"CAPACITOR-0402";"0402-CAP";"C6";"";"";"";"cap-cer-0402-10n";
"1";"2.2uF/Low ESR";"CAPACITOR-0603";"0603-CAP";"C4";"";"";"";"cap-cer-0603-2u2";
"1";"220n/Low ESR";"CAPACITOR-0603";"0603-CAP";"C14";"";"";"";"cap-cer-0603-220n";
"1";"2n2";"CAPACITOR-0402";"0402-CAP";"C9";"";"";"";"cap-cer-0402-2n2";
"2";"4.7uF/10V/Low ESR";"CAPACITOR-0603";"0603-CAP";"C5, C13";"";"";"";"cap-cer-0603-4u7";
"3";"4k7";"RESISTOR-0402";"0402-RES";"R1, R2, R3";"";"";"";"res-0402-4k7";
"1";">4KBIT SERIAL EEPROM HALF PROTECT";"I2C_EEPROM-SOT23-5";"SOT23-5";"IC3";"";"";"";"ic-sot-23-5-4k-eeprom";
"1";"ASPIRIN";"ASPIRIN";"ASPIRIN_CASTELLATED";"ASP1";"";"";"";"pcb-aspirin";
"1";"HMC5883";"HMC5883";"PLCC16-HMC5883";"U1";"";"";"";"sensr-plcc-16-mag";
"1";"LP2992";"MIC5219BM5";"SOT23-5";"IC1";"VOLTAGE REGULATOR";"";"";"vreg-sot-23-5-3v3";
"1";"MPU-6000";"MPU-6000";"QFN24-NO-PAD";"U2";"";"";"";"sensr-qfn-24-acc-gyro";
"1";"MS5611";"MS5611";"QFN-MS5611";"IC2";"";"";"";"sensr-qfn-8-baro";
"1";"TR-LOGO";"TR-LOGO";"TR-LOGO";"U$1";"";"EXCLUDE";"";"*";
